"OCL10","SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (not prop.complexType.oclIsUndefined() and prop.isContainment) implies entity.features-> select(f|f.oclIsTypeOf(TrgStrongReference)) -> exists(f | f.name = prop.name))))))"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.07692307692307693","6","6","0.8461538461538461","6","0.7333333333333333","6","0.5789473684210527","6","0.35","8","8","0.8461538461538461","8","0.7333333333333333","8","0.5789473684210527","8","2.5011","1","1","0.8461538461538461","1","0.7333333333333333","1","0.5789473684210527","1","0.31622776601683794","6","6","0.8461538461538461","6","0.7333333333333333","6","0.5789473684210527","6"
"1","References","0.2222222222222222","2","2","0.7692307692307693","2","0.8333333333333334","3","0.5882352941176471","2","0.6538461538461539","2","2","0.7692307692307693","2","0.8333333333333334","3","0.5882352941176471","2","0.3076923076923077","4","4","0.7692307692307693","4","0.8333333333333334","5","0.5882352941176471","4","0.5547001962252291","2","2","0.7692307692307693","2","0.8333333333333334","3","0.5882352941176471","2"
"1","Attributes","1.0","1","1","0.6923076923076923","1","0.6923076923076923","1","0.5","1","0.8333333333333333","1","1","0.6923076923076923","1","0.6923076923076923","1","0.5","1","0.6666666666666666","3","3","0.6923076923076923","3","0.6923076923076923","3","0.5","3","0.8164965809277261","1","1","0.6923076923076923","1","0.6923076923076923","1","0.5","1"
"0","Class","0.08","5","5","0.46153846153846156","5","0.6","5","0.35294117647058826","5","0.5689655172413793","4","4","0.46153846153846156","4","0.6","4","0.35294117647058826","4","0.13793103448275862","6","6","0.46153846153846156","6","0.6","6","0.35294117647058826","6","0.3713906763541037","5","5","0.46153846153846156","5","0.6","5","0.35294117647058826","5"
"0","Package","0.020833333333333332","7","7","0.3076923076923077","7","0.4","8","0.21052631578947367","8","0.52","6","6","0.3076923076923077","6","0.4","7","0.21052631578947367","7","0.04","7","7","0.3076923076923077","7","0.4","8","0.21052631578947367","8","0.2","7","7","0.3076923076923077","7","0.4","8","0.21052631578947367","8"
"0","NamedElement","0.020833333333333332","7","7","0.3076923076923077","7","1.0","7","0.3076923076923077","7","0.52","6","6","0.3076923076923077","6","1.0","6","0.3076923076923077","6","0.04","7","7","0.3076923076923077","7","1.0","7","0.3076923076923077","7","0.2","7","7","0.3076923076923077","7","1.0","7","0.3076923076923077","7"
"0","Property","0.2222222222222222","2","2","0.6153846153846154","3","1.0","2","0.5714285714285714","3","0.6538461538461539","2","2","0.6153846153846154","3","1.0","2","0.5714285714285714","3","0.3076923076923077","4","4","0.6153846153846154","5","1.0","4","0.5714285714285714","5","0.5547001962252291","2","2","0.6153846153846154","3","1.0","2","0.5714285714285714","3"
"0","StrongReferences","0.21428571428571427","4","4","0.8461538461538461","4","0.7333333333333333","4","0.6470588235294118","4","0.5625","5","5","0.8461538461538461","5","0.7333333333333333","5","0.6470588235294118","5","1.8012","2","2","0.8461538461538461","2","0.7333333333333333","2","0.6470588235294118","2","0.5303300858899106","4","4","0.8461538461538461","4","0.7333333333333333","4","0.6470588235294118","4"
" ","EXAM-BC"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.375","0.375"," ","0.375"," ","0.375"," ","0.375"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
" ","EXAM-WC"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.375","0.375"," ","0.375"," ","0.375"," ","0.375"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
