"OCL13","TrgWeakReference.allInstances()->forAll(r | SrcClass.allInstances()->exists(c | r.type.name = c.name))"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","1.0","1","1","0.7142857142857143","1","0.3333333333333333","1","0.2777777777777778","1","1.0","1","1","0.7142857142857143","1","0.3333333333333333","1","0.2777777777777778","1","1.0","2","2","0.7142857142857143","2","0.3333333333333333","2","0.2777777777777778","2","1.0","1","1","0.7142857142857143","1","0.3333333333333333","1","0.2777777777777778","1"
"1","References","0.6666666666666666","2","2","0.5714285714285714","2","0.4444444444444444","2","0.3076923076923077","2","0.75","2","2","0.5714285714285714","2","0.4444444444444444","2","0.3076923076923077","2","0.5","3","3","0.5714285714285714","3","0.4444444444444444","3","0.3076923076923077","3","0.7071067811865476","2","2","0.5714285714285714","2","0.4444444444444444","2","0.3076923076923077","2"
"0","Attributes","0.2","3","3","0.5714285714285714","3","0.3076923076923077","4","0.23529411764705882","4","0.6153846153846154","3","3","0.5714285714285714","3","0.3076923076923077","4","0.23529411764705882","4","0.23076923076923078","4","4","0.5714285714285714","4","0.3076923076923077","5","0.23529411764705882","5","0.48038446141526137","3","3","0.5714285714285714","3","0.3076923076923077","4","0.23529411764705882","4"
"0","Class","0.07692307692307693","6","6","0.7142857142857143","6","0.5","6","0.4166666666666667","6","0.5517241379310345","5","5","0.7142857142857143","5","0.5","5","0.4166666666666667","5","0.10344827586206896","6","6","0.7142857142857143","6","0.5","6","0.4166666666666667","6","0.3216337604513384","5","5","0.7142857142857143","5","0.5","5","0.4166666666666667","5"
"0","Package","0.020618556701030927","7","7","0.42857142857142855","7","0.3","8","0.21428571428571427","8","0.515","6","6","0.42857142857142855","6","0.3","7","0.21428571428571427","7","0.03","7","7","0.42857142857142855","7","0.3","8","0.21428571428571427","8","0.1732050807568877","7","7","0.42857142857142855","7","0.3","8","0.21428571428571427","8"
"0","NamedElement","0.020618556701030927","7","7","0.42857142857142855","7","0.75","7","0.375","7","0.515","6","6","0.42857142857142855","6","0.75","6","0.375","6","0.03","7","7","0.42857142857142855","7","0.75","7","0.375","7","0.1732050807568877","7","7","0.42857142857142855","7","0.75","7","0.375","7"
"0","Property","0.2","3","3","0.5714285714285714","3","0.5","3","0.3333333333333333","3","0.6153846153846154","3","3","0.5714285714285714","3","0.5","3","0.3333333333333333","3","0.23076923076923078","4","4","0.5714285714285714","4","0.5","4","0.3333333333333333","4","0.48038446141526137","3","3","0.5714285714285714","3","0.5","3","0.3333333333333333","3"
"0","StrongReferences","0.11764705882352941","5","5","0.7142857142857143","5","0.3333333333333333","5","0.2631578947368421","5","0.29166666666666663","8","8","0.7142857142857143","8","0.3333333333333333","8","0.2631578947368421","8","1.67","1","1","0.7142857142857143","1","0.3333333333333333","1","0.2631578947368421","1","0.2886751345948129","6","6","0.7142857142857143","6","0.3333333333333333","6","0.2631578947368421","6"
" ","EXAM-BC"," ","0.25","0.25"," ","0.25"," ","0.25"," ","0.25"," ","0.25","0.25"," ","0.25"," ","0.25"," ","0.25"," ","0.375","0.375"," ","0.375"," ","0.375"," ","0.375"," ","0.25","0.25"," ","0.25"," ","0.25"," ","0.25"
" ","EXAM-WC"," ","0.25","0.25"," ","0.25"," ","0.25"," ","0.25"," ","0.25","0.25"," ","0.25"," ","0.25"," ","0.25"," ","0.375","0.375"," ","0.375"," ","0.375"," ","0.375"," ","0.25","0.25"," ","0.25"," ","0.25"," ","0.25"
" ","EXAM-AVG"," ","0.25","0.25"," ","0.25"," ","0.25"," ","0.25"," ","0.25","0.25"," ","0.25"," ","0.25"," ","0.25"," ","0.375","0.375"," ","0.375"," ","0.375"," ","0.375"," ","0.25","0.25"," ","0.25"," ","0.25"," ","0.25"
"OCL14","TrgStrongReference.allInstances()->forAll(r | SrcClass.allInstances()->exists(c | r.type.name = c.name))"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.11764705882352941","5","5","0.7142857142857143","5","0.3333333333333333","5","0.2631578947368421","5","0.29166666666666663","8","8","0.7142857142857143","8","0.3333333333333333","8","0.2631578947368421","8","1.67","1","1","0.7142857142857143","1","0.3333333333333333","1","0.2631578947368421","1","0.2886751345948129","6","6","0.7142857142857143","6","0.3333333333333333","6","0.2631578947368421","6"
"1","References","1.0","1","1","0.5714285714285714","2","0.4444444444444444","1","0.3076923076923077","1","0.8333333333333333","2","2","0.5714285714285714","2","0.4444444444444444","2","0.3076923076923077","2","0.6666666666666666","3","3","0.5714285714285714","3","0.4444444444444444","3","0.3076923076923077","3","0.8164965809277261","2","2","0.5714285714285714","2","0.4444444444444444","2","0.3076923076923077","2"
"0","Attributes","0.2222222222222222","3","3","0.5714285714285714","3","0.3076923076923077","4","0.23529411764705882","4","0.6538461538461539","3","3","0.5714285714285714","3","0.3076923076923077","4","0.23529411764705882","4","0.3076923076923077","4","4","0.5714285714285714","4","0.3076923076923077","5","0.23529411764705882","5","0.5547001962252291","3","3","0.5714285714285714","3","0.3076923076923077","4","0.23529411764705882","4"
"0","Class","0.08","6","6","0.7142857142857143","6","0.5","6","0.4166666666666667","6","0.5689655172413793","5","5","0.7142857142857143","5","0.5","5","0.4166666666666667","5","0.13793103448275862","6","6","0.7142857142857143","6","0.5","6","0.4166666666666667","6","0.3713906763541037","5","5","0.7142857142857143","5","0.5","5","0.4166666666666667","5"
"0","Package","0.020833333333333332","7","7","0.42857142857142855","7","0.3","8","0.21428571428571427","8","0.52","6","6","0.42857142857142855","6","0.3","7","0.21428571428571427","7","0.04","7","7","0.42857142857142855","7","0.3","8","0.21428571428571427","8","0.2","7","7","0.42857142857142855","7","0.3","8","0.21428571428571427","8"
"0","NamedElement","0.020833333333333332","7","7","0.42857142857142855","7","0.75","7","0.375","7","0.52","6","6","0.42857142857142855","6","0.75","6","0.375","6","0.04","7","7","0.42857142857142855","7","0.75","7","0.375","7","0.2","7","7","0.42857142857142855","7","0.75","7","0.375","7"
"0","Property","0.2222222222222222","3","3","0.5714285714285714","3","0.5","3","0.3333333333333333","3","0.6538461538461539","3","3","0.5714285714285714","3","0.5","3","0.3333333333333333","3","0.3076923076923077","4","4","0.5714285714285714","4","0.5","4","0.3333333333333333","4","0.5547001962252291","3","3","0.5714285714285714","3","0.5","3","0.3333333333333333","3"
