"OCL4","SrcNamedElement.allInstances()-> size() = TrgElement.allInstances()->size()"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.07692307692307693","6","6","1.0","6","0.4","6","0.4","6","0.5517241379310345","8","8","1.0","8","0.4","8","0.4","8","0.10344827586206896","8","8","1.0","8","0.4","8","0.4","8","0.3216337604513384","8","8","1.0","8","0.4","8","0.4","8"
"0","References","0.08695652173913043","4","4","1.0","4","0.3333333333333333","4","0.3333333333333333","4","0.603448275862069","6","6","1.0","6","0.3333333333333333","6","0.3333333333333333","6","0.20689655172413793","6","6","1.0","6","0.3333333333333333","6","0.3333333333333333","6","0.454858826147342","6","6","1.0","6","0.3333333333333333","6","0.3333333333333333","6"
"0","Attributes","0.125","2","2","1.0","2","0.2857142857142857","3","0.2857142857142857","3","0.7241379310344828","2","2","1.0","2","0.2857142857142857","3","0.2857142857142857","3","0.4482758620689655","2","2","1.0","2","0.2857142857142857","3","0.2857142857142857","3","0.6695340634119862","2","2","1.0","2","0.2857142857142857","3","0.2857142857142857","3"
"1","Class","1.0","1","1","1.0","1","0.3333333333333333","1","0.3333333333333333","1","1.0","1","1","1.0","1","0.3333333333333333","1","0.3333333333333333","1","1.0","1","1","1.0","1","0.3333333333333333","1","0.3333333333333333","1","1.0","1","1","1.0","1","0.3333333333333333","1","0.3333333333333333","1"
"0","Package","0.028169014084507043","7","7","1.0","7","0.3333333333333333","8","0.3333333333333333","8","0.645","4","4","1.0","4","0.3333333333333333","5","0.3333333333333333","5","0.29","4","4","1.0","4","0.3333333333333333","5","0.3333333333333333","5","0.5385164807134504","4","4","1.0","4","0.3333333333333333","5","0.3333333333333333","5"
"0","NamedElement","0.028169014084507043","7","7","1.0","7","0.5","7","0.5","7","0.645","4","4","1.0","4","0.5","4","0.5","4","0.29","4","4","1.0","4","0.5","4","0.5","4","0.5385164807134504","4","4","1.0","4","0.5","4","0.5","4"
"0","Property","0.125","2","2","1.0","2","0.5","2","0.5","2","0.7241379310344828","2","2","1.0","2","0.5","2","0.5","2","0.4482758620689655","2","2","1.0","2","0.5","2","0.5","2","0.6695340634119862","2","2","1.0","2","0.5","2","0.5","2"
"0","StrongReferences","0.08","5","5","1.0","5","0.4","5","0.4","5","0.5689655172413793","7","7","1.0","7","0.4","7","0.4","7","0.13793103448275862","7","7","1.0","7","0.4","7","0.4","7","0.3713906763541037","7","7","1.0","7","0.4","7","0.4","7"
" ","EXAM-BC"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
" ","EXAM-WC"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
" ","EXAM-AVG"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
"OCL6","SrcClass.allInstances()->size() = TrgEntityType.allInstances()->size()"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.07692307692307693","6","6","0.5","6","0.4","6","0.2857142857142857","6","0.5517241379310345","8","8","0.5","8","0.4","8","0.2857142857142857","8","0.10344827586206896","8","8","0.5","8","0.4","8","0.2857142857142857","8","0.3216337604513384","8","8","0.5","8","0.4","8","0.2857142857142857","8"
"0","References","0.08695652173913043","4","4","0.5","4","0.3333333333333333","4","0.25","4","0.603448275862069","6","6","0.5","6","0.3333333333333333","6","0.25","6","0.20689655172413793","6","6","0.5","6","0.3333333333333333","6","0.25","6","0.454858826147342","6","6","0.5","6","0.3333333333333333","6","0.25","6"
"0","Attributes","0.125","2","2","0.5","2","0.2857142857142857","3","0.2222222222222222","3","0.7241379310344828","2","2","0.5","2","0.2857142857142857","3","0.2222222222222222","3","0.4482758620689655","2","2","0.5","2","0.2857142857142857","3","0.2222222222222222","3","0.6695340634119862","2","2","0.5","2","0.2857142857142857","3","0.2222222222222222","3"
"1","Class","1.0","1","1","1.0","1","0.6666666666666666","1","0.6666666666666666","1","1.0","1","1","1.0","1","0.6666666666666666","1","0.6666666666666666","1","1.0","1","1","1.0","1","0.6666666666666666","1","0.6666666666666666","1","1.0","1","1","1.0","1","0.6666666666666666","1","0.6666666666666666","1"
"0","Package","0.028169014084507043","7","7","0.5","7","0.3333333333333333","8","0.25","8","0.645","4","4","0.5","4","0.3333333333333333","5","0.25","5","0.29","4","4","0.5","4","0.3333333333333333","5","0.25","5","0.5385164807134504","4","4","0.5","4","0.3333333333333333","5","0.25","5"
"0","NamedElement","0.028169014084507043","7","7","0.5","7","0.5","7","0.3333333333333333","7","0.645","4","4","0.5","4","0.5","4","0.3333333333333333","4","0.29","4","4","0.5","4","0.5","4","0.3333333333333333","4","0.5385164807134504","4","4","0.5","4","0.5","4","0.3333333333333333","4"
"0","Property","0.125","2","2","0.5","2","0.5","2","0.3333333333333333","2","0.7241379310344828","2","2","0.5","2","0.5","2","0.3333333333333333","2","0.4482758620689655","2","2","0.5","2","0.5","2","0.3333333333333333","2","0.6695340634119862","2","2","0.5","2","0.5","2","0.3333333333333333","2"
