"OCL1","SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name))"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.020618556701030927","7","7","0.25","7","0.4","7","0.18181818181818182","7","0.515","7","7","0.25","7","0.4","7","0.18181818181818182","7","0.03","7","7","0.25","7","0.4","7","0.18181818181818182","7","0.1732050807568877","7","7","0.25","7","0.4","7","0.18181818181818182","7"
"0","References","0.02127659574468085","5","5","0.25","5","0.3333333333333333","5","0.16666666666666666","5","0.53","5","5","0.25","5","0.3333333333333333","5","0.16666666666666666","5","0.06","5","5","0.25","5","0.3333333333333333","5","0.16666666666666666","5","0.24494897427831783","5","5","0.25","5","0.3333333333333333","5","0.16666666666666666","5"
"0","Attributes","0.022988505747126436","3","3","0.25","3","0.2857142857142857","4","0.15384615384615385","4","0.565","3","3","0.25","3","0.2857142857142857","4","0.15384615384615385","4","0.13","3","3","0.25","3","0.2857142857142857","4","0.15384615384615385","4","0.36055512754639896","3","3","0.25","3","0.2857142857142857","4","0.15384615384615385","4"
"0","Class","0.028169014084507043","1","1","0.25","2","0.3333333333333333","2","0.16666666666666666","2","0.645","1","1","0.25","2","0.3333333333333333","2","0.16666666666666666","2","0.29","1","1","0.25","2","0.3333333333333333","2","0.16666666666666666","2","0.5385164807134504","1","1","0.25","2","0.3333333333333333","2","0.16666666666666666","2"
"1","Package","0.0","8","8","0.625","8","0.7142857142857143","8","0.5","8","0.0","8","8","0.625","8","0.7142857142857143","8","0.5","8","0.0","8","8","0.625","8","0.7142857142857143","8","0.5","8","0.0","8","8","0.625","8","0.7142857142857143","8","0.5","8"
"0","NamedElement","0.028169014084507043","1","1","0.5","1","1.0","1","0.5","1","0.645","1","1","0.5","1","1.0","1","0.5","1","0.29","1","1","0.5","1","1.0","1","0.5","1","0.5385164807134504","1","1","0.5","1","1.0","1","0.5","1"
"0","Property","0.022988505747126436","3","3","0.25","3","0.5","3","0.2","3","0.565","3","3","0.25","3","0.5","3","0.2","3","0.13","3","3","0.25","3","0.5","3","0.2","3","0.36055512754639896","3","3","0.25","3","0.5","3","0.2","3"
"0","StrongReferences","0.020833333333333332","6","6","0.25","6","0.4","6","0.18181818181818182","6","0.52","6","6","0.25","6","0.4","6","0.18181818181818182","6","0.04","6","6","0.25","6","0.4","6","0.18181818181818182","6","0.2","6","6","0.25","6","0.4","6","0.18181818181818182","6"
" ","EXAM-BC"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"
" ","EXAM-WC"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"
" ","EXAM-AVG"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"
"OCL10","SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (not prop.complexType.oclIsUndefined() and prop.isContainment) implies entity.features-> select(f|f.oclIsTypeOf(TrgStrongReference)) -> exists(f | f.name = prop.name))))))"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
