"Case","Buggy Rule","Ncf","Nuf","Ncs","Nus","Nc","Nu","Ns","Nf","Mountford","Kulcynski2","Zoltar","Ochiai","CC","RC","RCR","Constraint","Rule","Mutant"
"0","0","1.0","3.0","2.0","94.0","1.0","3.0","96.0","4.0","0.11764705882352941","0.29166666666666663","1.6665000166650003E-5","0.2886751345948129","0.8461538461538461","0.7333333333333333","0.5789473684210527","10","WeakReferences","Mutant1"
"0","0","4.0","0.0","9.0","87.0","4.0","0.0","96.0","4.0","0.2222222222222222","0.6538461538461539","0.3076923076923077","0.5547001962252291","0.6923076923076923","0.6923076923076923","0.5","10","Attributes","Mutant1"
"0","0","4.0","0.0","25.0","71.0","4.0","0.0","96.0","4.0","0.08","0.5689655172413793","0.13793103448275862","0.3713906763541037","0.46153846153846156","0.6","0.35294117647058826","10","Class","Mutant1"
"0","0","4.0","0.0","96.0","0.0","4.0","0.0","96.0","4.0","0.020833333333333332","0.52","0.04","0.2","0.3076923076923077","0.4","0.21052631578947367","10","Package","Mutant1"
"0","1","4.0","0.0","0.0","96.0","4.0","0.0","96.0","4.0","1.0","1.0","1.0","1.0","0.8461538461538461","0.7333333333333333","0.5789473684210527","10","StrongReferences","Mutant1"
"1","0","3.0","10.0","0.0","87.0","3.0","10.0","87.0","13.0","0.2","0.6153846153846154","0.23076923076923078","0.48038446141526137","0.6071428571428571","0.5666666666666667","0.40476190476190477","11","WeakReferences","Mutant11"
"1","1","13.0","0.0","0.0","87.0","13.0","0.0","87.0","13.0","1.0","1.0","1.0","1.0","0.6071428571428571","0.9444444444444444","0.5666666666666667","11","Attributes","Mutant11"
"1","0","13.0","0.0","16.0","71.0","13.0","0.0","87.0","13.0","0.125","0.7241379310344828","0.4482758620689655","0.6695340634119862","0.5714285714285714","0.8","0.5","11","Class","Mutant11"
"1","0","13.0","0.0","87.0","0.0","13.0","0.0","87.0","13.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.2857142857142857","0.4","0.2","11","Package","Mutant11"
"1","0","4.0","9.0","0.0","87.0","4.0","9.0","87.0","13.0","0.2222222222222222","0.6538461538461539","0.3076923076923077","0.5547001962252291","0.6071428571428571","0.5666666666666667","0.40476190476190477","11","StrongReferences","Mutant11"
