"Case","Buggy Rule","Ncf","Nuf","Ncs","Nus","Nc","Nu","Ns","Nf","Mountford","Kulcynski2","Zoltar","Ochiai","CC","RC","RCR","Constraint","Rule","Mutant"
"0","0","1.0","3.0","2.0","94.0","3.0","97.0","96.0","4.0","0.11764705882352941","0.29166666666666663","1.6711","0.2886751345948129","0.38461538461538464","1.0","0.35714285714285715","10","WeakReferences","Mutant1"
"0","0","4.0","0.0","2.0","94.0","6.0","94.0","96.0","4.0","1.0","0.8333333333333333","0.6666666666666666","0.8164965809277261","0.38461538461538464","0.8333333333333334","0.3333333333333333","10","References","Mutant1"
"0","0","4.0","0.0","9.0","87.0","13.0","87.0","96.0","4.0","0.2222222222222222","0.6538461538461539","0.3076923076923077","0.5547001962252291","0.34615384615384615","0.6428571428571429","0.28125","10","Attributes","Mutant1"
"0","0","4.0","0.0","25.0","71.0","29.0","71.0","96.0","4.0","0.08","0.5689655172413793","0.13793103448275862","0.3713906763541037","0.3076923076923077","0.6666666666666666","0.26666666666666666","10","Class","Mutant1"
"0","0","4.0","0.0","96.0","0.0","100.0","0.0","96.0","4.0","0.020833333333333332","0.52","0.04","0.2","0.15384615384615385","0.3333333333333333","0.11764705882352941","10","Package","Mutant1"
"0","0","4.0","0.0","96.0","0.0","100.0","0.0","96.0","4.0","0.020833333333333332","0.52","0.04","0.2","0.3076923076923077","1.0","0.3076923076923077","10","NamedElement","Mutant1"
"0","0","4.0","0.0","9.0","87.0","13.0","87.0","96.0","4.0","0.2222222222222222","0.6538461538461539","0.3076923076923077","0.5547001962252291","0.3076923076923077","1.0","0.3076923076923077","10","Property","Mutant1"
"0","1","4.0","0.0","0.0","96.0","4.0","96.0","96.0","4.0","1.0","1.0","1.0","1.0","0.38461538461538464","1.0","0.35714285714285715","10","StrongReferences","Mutant1"
"1","0","3.0","97.0","0.0","0.0","3.0","97.0","0.0","100.0","0.020618556701030927","0.515","0.03","0.1732050807568877","0.25","0.4","0.18181818181818182","1","WeakReferences","Mutant10"
"1","0","6.0","94.0","0.0","0.0","6.0","94.0","0.0","100.0","0.02127659574468085","0.53","0.06","0.24494897427831783","0.25","0.3333333333333333","0.16666666666666666","1","References","Mutant10"
"1","0","13.0","87.0","0.0","0.0","13.0","87.0","0.0","100.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.25","0.2857142857142857","0.15384615384615385","1","Attributes","Mutant10"
"1","0","29.0","71.0","0.0","0.0","29.0","71.0","0.0","100.0","0.028169014084507043","0.645","0.29","0.5385164807134504","0.25","0.3333333333333333","0.16666666666666666","1","Class","Mutant10"
"1","0","100.0","0.0","0.0","0.0","100.0","0.0","0.0","100.0","1.0","1.0","1.0","1.0","0.5","0.6666666666666666","0.4","1","Package","Mutant10"
"1","1","100.0","0.0","0.0","0.0","100.0","0.0","0.0","100.0","1.0","1.0","1.0","1.0","0.25","1.0","0.25","1","NamedElement","Mutant10"
"1","0","13.0","87.0","0.0","0.0","13.0","87.0","0.0","100.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.25","0.5","0.2","1","Property","Mutant10"
"1","0","4.0","96.0","0.0","0.0","4.0","96.0","0.0","100.0","0.020833333333333332","0.52","0.04","0.2","0.25","0.4","0.18181818181818182","1","StrongReferences","Mutant10"
"2","0","3.0","97.0","0.0","0.0","3.0","97.0","0.0","100.0","0.020618556701030927","0.515","0.03","0.1732050807568877","0.38461538461538464","1.0","0.35714285714285715","10","WeakReferences","Mutant10"
"2","0","6.0","94.0","0.0","0.0","6.0","94.0","0.0","100.0","0.02127659574468085","0.53","0.06","0.24494897427831783","0.38461538461538464","0.8333333333333334","0.3333333333333333","10","References","Mutant10"
"2","0","13.0","87.0","0.0","0.0","13.0","87.0","0.0","100.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.34615384615384615","0.6428571428571429","0.28125","10","Attributes","Mutant10"
"2","0","29.0","71.0","0.0","0.0","29.0","71.0","0.0","100.0","0.028169014084507043","0.645","0.29","0.5385164807134504","0.3076923076923077","0.6666666666666666","0.26666666666666666","10","Class","Mutant10"
"2","0","100.0","0.0","0.0","0.0","100.0","0.0","0.0","100.0","1.0","1.0","1.0","1.0","0.15384615384615385","0.3333333333333333","0.11764705882352941","10","Package","Mutant10"
"2","1","100.0","0.0","0.0","0.0","100.0","0.0","0.0","100.0","1.0","1.0","1.0","1.0","0.15384615384615385","1.0","0.15384615384615385","10","NamedElement","Mutant10"
"2","0","13.0","87.0","0.0","0.0","13.0","87.0","0.0","100.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.3076923076923077","1.0","0.3076923076923077","10","Property","Mutant10"
